mmT-miR__KEY,d1338_1_counts,d1338_2_counts,d1338_3_counts,d997_1_counts,d997_2_counts,d997_3_counts,mf1_counts,mf2_counts,mf3_counts,wt1_counts,wt2_counts,wt3_counts
mmT-miR-378b,zero,2,zero,zero,1,zero,280,1653,452,166,198,69
mmT-miR-423-5p,zero,2,1,zero,1,1,7622,38704,10214,3896,5258,1148
mmT-miR-425-5p,zero,4,zero,2,2,2,602,3335,1074,257,427,102
mmT-miR-451a,zero,4,zero,2,zero,zero,1129,8201,2167,15,21,9
mmT-miR-455-5p,zero,1,zero,zero,zero,zero,26,208,58,7,7,zero
mmT-miR-484,zero,7,4,2,1,3,1745,7950,2840,1107,1282,258
mmT-miR-486a-5p,zero,7,1,zero,zero,1,1840,14688,3926,31,38,10
mmT-miR-500-5p,zero,14,1,3,4,8,3,16,2,3,3,zero
mmT-miR-503-5p,zero,1,zero,zero,zero,zero,104,614,225,70,134,34
mmT-miR-5099,zero,6,1,2,5,8,693,3909,978,499,701,145
mmT-miR-5106,zero,5,zero,zero,zero,zero,zero,3,1,zero,zero,zero
mmT-miR-5129-3p,zero,1,zero,zero,zero,zero,50,305,78,26,40,18
mmT-miR-664-3p,zero,1,zero,zero,zero,zero,57,263,82,21,23,3
mmT-miR-669c-5p,zero,1,2,1,zero,3,49,222,91,385,569,138
mmT-miR-669p-5p,zero,1,zero,zero,zero,zero,129,599,181,141,188,51
mmT-miR-672-5p,zero,3,zero,zero,zero,zero,145,706,201,160,246,62
mmT-miR-674-3p,zero,3,zero,1,zero,zero,2391,12440,3330,1381,1523,370
mmT-miR-677-3p,zero,1,zero,zero,zero,zero,zero,9,3,2,zero,1
mmT-miR-6899-5p,zero,1,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-6970-5p,zero,1,zero,zero,zero,zero,zero,6,zero,1,1,zero
mmT-miR-7043-3p,zero,1,zero,zero,zero,1,157,679,207,130,126,44
mmT-miR-708-3p,zero,1,zero,zero,zero,zero,90,415,106,115,101,41
mmT-miR-7091-3p,zero,1,zero,1,zero,zero,10,71,15,13,2,6
mmT-miR-770-5p,zero,1,zero,zero,zero,zero,1,zero,zero,zero,zero,zero
mmT-miR-872-3p,zero,1,zero,zero,zero,zero,22,147,48,22,24,1
mmT-miR-877-5p,zero,1,zero,zero,zero,zero,2,21,6,3,2,zero
mmT-miR-93-5p,zero,2,1,1,1,1,815,5007,1917,666,831,279
mmT-miR-99a-3p,zero,1,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero
mmT-miR-10a-3p,zero,zero,1,1,zero,zero,135,725,261,151,190,53
mmT-miR-17-3p,zero,zero,1,1,zero,zero,65,343,157,51,69,9
mmT-miR-185-3p,zero,zero,1,zero,zero,zero,173,864,234,108,128,31
mmT-miR-330-3p,zero,zero,1,zero,zero,zero,14,112,43,19,18,2
mmT-miR-361-5p,zero,zero,1,1,2,zero,223,1144,389,189,228,55
mmT-miR-375-3p,zero,zero,1,1,zero,zero,25,115,31,9,10,3
