mmT-miR__KEY,d1338_1_counts,d1338_2_counts,d1338_3_counts,d997_1_counts,d997_2_counts,d997_3_counts,mf1_counts,mf2_counts,mf3_counts,wt1_counts,wt2_counts,wt3_counts
mmT-miR-7674-3p,zero,zero,zero,zero,zero,zero,2,zero,zero,zero,zero,zero
mmT-miR-7676-3p,zero,zero,zero,zero,zero,zero,92,497,136,58,65,17
mmT-miR-7678-3p,zero,zero,zero,zero,zero,zero,2,20,10,7,5,1
mmT-miR-7679-3p,zero,zero,zero,zero,zero,zero,1,5,2,zero,zero,zero
mmT-miR-7683-5p,zero,zero,zero,zero,zero,zero,4,16,2,8,4,1
mmT-miR-7688-5p,zero,zero,zero,zero,zero,zero,10,41,16,14,13,4
mmT-miR-7a-1-3p,zero,zero,zero,zero,zero,zero,16,181,40,27,30,1
mmT-miR-7b-5p,zero,zero,zero,zero,zero,zero,23,188,51,58,66,21
mmT-miR-8097,zero,zero,zero,zero,zero,zero,5,14,3,zero,1,1
mmT-miR-8103,zero,zero,zero,zero,zero,zero,4,57,18,4,1,zero
mmT-miR-8106,zero,zero,zero,zero,zero,zero,1,4,zero,zero,zero,zero
mmT-miR-8107,zero,zero,zero,zero,zero,zero,1,5,zero,zero,zero,1
mmT-miR-8112,zero,zero,zero,zero,zero,zero,4,12,3,zero,1,zero
mmT-miR-8114,zero,zero,zero,zero,zero,zero,74,427,127,28,35,6
mmT-miR-8120,zero,zero,zero,zero,zero,zero,7,58,13,8,10,3
mmT-miR-872-5p,zero,zero,zero,zero,zero,zero,251,1353,481,441,363,108
mmT-miR-874-3p,zero,zero,zero,zero,zero,zero,2,3,zero,3,1,zero
mmT-miR-877-3p,zero,zero,zero,zero,zero,zero,41,163,47,18,6,7
mmT-miR-92a-1-5p,zero,zero,zero,zero,zero,zero,2,25,8,6,4,3
mmT-miR-92b-3p,zero,zero,zero,zero,zero,zero,19,146,36,10,4,4
mmT-miR-92b-5p,zero,zero,zero,zero,zero,zero,1,4,2,1,2,zero
mmT-miR-93-3p,zero,zero,zero,zero,zero,zero,6,40,5,zero,4,zero
mmT-miR-935,zero,zero,zero,zero,zero,zero,4,8,3,2,zero,zero
mmT-miR-9-3p,zero,zero,zero,zero,zero,zero,4,8,1,2,2,zero
mmT-miR-9-5p,zero,zero,zero,zero,zero,zero,99,590,174,157,202,59
mmT-miR-96-5p,zero,zero,zero,zero,zero,zero,27,114,67,73,75,19
mmT-miR-9769-3p,zero,zero,zero,zero,zero,zero,5,15,3,4,6,1
mmT-miR-98-3p,zero,zero,zero,zero,zero,zero,1,23,11,14,8,5
mmT-let-7g-3p,zero,zero,zero,zero,zero,zero,zero,6,3,5,3,zero
mmT-miR-10b-3p,zero,zero,zero,zero,zero,zero,zero,3,zero,zero,zero,zero
mmT-miR-1193-3p,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,zero,zero
mmT-miR-1199-5p,zero,zero,zero,zero,zero,zero,zero,3,zero,zero,2,zero
mmT-miR-12184-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,1,zero
mmT-miR-12184-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-12185-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-12187-3p,zero,zero,zero,zero,zero,zero,zero,3,1,zero,zero,zero
mmT-miR-12197-3p,zero,zero,zero,zero,zero,zero,zero,4,zero,zero,zero,zero
mmT-miR-12205-3p,zero,zero,zero,zero,zero,zero,zero,2,2,zero,zero,zero
mmT-miR-124b-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-1258-3p,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,1,zero
mmT-miR-126b-3p,zero,zero,zero,zero,zero,zero,zero,1,4,zero,zero,zero
mmT-miR-1271-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-1271-5p,zero,zero,zero,zero,zero,zero,zero,7,zero,zero,1,zero
mmT-miR-130a-3p,zero,zero,zero,zero,zero,zero,zero,4,2,zero,zero,zero
mmT-miR-135a-5p,zero,zero,zero,zero,zero,zero,zero,11,7,2,6,1
mmT-miR-136-3p,zero,zero,zero,zero,zero,zero,zero,5,zero,3,zero,1
mmT-miR-138-2-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-143-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-145a-3p,zero,zero,zero,zero,zero,zero,zero,2,2,2,2,1
mmT-miR-149-3p,zero,zero,zero,zero,zero,zero,zero,3,zero,zero,zero,zero
mmT-miR-1843b-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-18b-3p,zero,zero,zero,zero,zero,zero,zero,8,4,1,zero,zero
mmT-miR-190a-5p,zero,zero,zero,zero,zero,zero,zero,12,3,zero,1,1
mmT-miR-190b-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,3,zero,zero
mmT-miR-192-3p,zero,zero,zero,zero,zero,zero,zero,3,1,zero,zero,zero
mmT-miR-1927,zero,zero,zero,zero,zero,zero,zero,1,2,zero,zero,zero
mmT-miR-1930-3p,zero,zero,zero,zero,zero,zero,zero,3,zero,zero,zero,zero
mmT-miR-1931,zero,zero,zero,zero,zero,zero,zero,4,1,zero,zero,zero
mmT-miR-1938,zero,zero,zero,zero,zero,zero,zero,7,2,4,1,2
mmT-miR-193a-3p,zero,zero,zero,zero,zero,zero,zero,9,5,1,2,1
mmT-miR-193b-3p,zero,zero,zero,zero,zero,zero,zero,11,1,zero,zero,zero
mmT-miR-1946a,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-1947-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-1950,zero,zero,zero,zero,zero,zero,zero,13,4,1,5,zero
mmT-miR-1953,zero,zero,zero,zero,zero,zero,zero,4,4,4,3,zero
mmT-miR-1958,zero,zero,zero,zero,zero,zero,zero,13,3,3,11,4
mmT-miR-1966-3p,zero,zero,zero,zero,zero,zero,zero,12,3,1,zero,zero
mmT-miR-196b-5p,zero,zero,zero,zero,zero,zero,zero,12,1,zero,5,1
mmT-miR-1982-3p,zero,zero,zero,zero,zero,zero,zero,17,6,zero,zero,zero
mmT-miR-205-5p,zero,zero,zero,zero,zero,zero,zero,3,zero,zero,zero,zero
mmT-miR-206-3p,zero,zero,zero,zero,zero,zero,zero,2,1,zero,zero,1
mmT-miR-20a-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-2137,zero,zero,zero,zero,zero,zero,zero,16,1,1,2,zero
mmT-miR-214-5p,zero,zero,zero,zero,zero,zero,zero,1,2,zero,2,zero
mmT-miR-217-5p,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,zero,zero
mmT-miR-26a-1-3p,zero,zero,zero,zero,zero,zero,zero,5,zero,1,zero,zero
mmT-miR-297b-3p,zero,zero,zero,zero,zero,zero,zero,8,6,3,1,zero
mmT-miR-297c-3p,zero,zero,zero,zero,zero,zero,zero,9,5,4,4,zero
mmT-miR-299a-5p,zero,zero,zero,zero,zero,zero,zero,2,2,zero,2,zero
mmT-miR-301a-3p,zero,zero,zero,zero,zero,zero,zero,13,6,1,1,zero
mmT-miR-301b-5p,zero,zero,zero,zero,zero,zero,zero,3,2,zero,zero,zero
mmT-miR-3064-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-3066-3p,zero,zero,zero,zero,zero,zero,zero,7,1,1,zero,zero
mmT-miR-3076-3p,zero,zero,zero,zero,zero,zero,zero,5,4,1,2,zero
mmT-miR-3076-5p,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,zero,zero
mmT-miR-3077-3p,zero,zero,zero,zero,zero,zero,zero,8,zero,zero,1,zero
mmT-miR-3080-5p,zero,zero,zero,zero,zero,zero,zero,3,zero,zero,zero,zero
mmT-miR-3086-3p,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,zero,zero
mmT-miR-3086-5p,zero,zero,zero,zero,zero,zero,zero,2,1,zero,2,zero
mmT-miR-3087-3p,zero,zero,zero,zero,zero,zero,zero,3,4,1,zero,1
mmT-miR-3089-3p,zero,zero,zero,zero,zero,zero,zero,2,zero,4,zero,1
mmT-miR-3091-3p,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,zero,zero
mmT-miR-3091-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-3094-3p,zero,zero,zero,zero,zero,zero,zero,2,2,zero,zero,zero
mmT-miR-3101-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-3103-3p,zero,zero,zero,zero,zero,zero,zero,3,1,1,1,zero
mmT-miR-326-5p,zero,zero,zero,zero,zero,zero,zero,4,2,zero,1,zero
mmT-miR-344b-3p,zero,zero,zero,zero,zero,zero,zero,6,zero,zero,zero,zero
mmT-miR-3473g,zero,zero,zero,zero,zero,zero,zero,2,1,zero,zero,zero
mmT-miR-350-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-3572-3p,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,zero,zero
mmT-miR-3620-5p,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,zero,zero
mmT-miR-365-2-5p,zero,zero,zero,zero,zero,zero,zero,5,4,2,zero,zero
mmT-miR-369-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-374c-5p,zero,zero,zero,zero,zero,zero,zero,5,1,2,2,zero
mmT-miR-376b-3p,zero,zero,zero,zero,zero,zero,zero,5,zero,zero,zero,zero
mmT-miR-376c-3p,zero,zero,zero,zero,zero,zero,zero,7,zero,2,1,zero
mmT-miR-380-5p,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,zero,zero
mmT-miR-3964,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,zero,zero
mmT-miR-3968,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,zero,zero
mmT-miR-410-3p,zero,zero,zero,zero,zero,zero,zero,12,2,zero,1,zero
mmT-miR-411-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,2,6,1
mmT-miR-450a-2-3p,zero,zero,zero,zero,zero,zero,zero,2,2,1,1,zero
mmT-miR-452-5p,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,zero,zero
mmT-miR-465b-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,1,zero
mmT-miR-466h-3p,zero,zero,zero,zero,zero,zero,zero,4,3,1,zero,zero
mmT-miR-466h-5p,zero,zero,zero,zero,zero,zero,zero,9,4,3,2,zero
mmT-miR-466i-5p,zero,zero,zero,zero,zero,zero,zero,5,4,18,27,6
mmT-miR-466n-5p,zero,zero,zero,zero,zero,zero,zero,2,3,3,zero,zero
mmT-miR-467b-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-485-5p,zero,zero,zero,zero,zero,zero,zero,3,zero,zero,zero,zero
mmT-miR-487b-3p,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,zero,zero
mmT-miR-491-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,1,zero
mmT-miR-505-3p,zero,zero,zero,zero,zero,zero,zero,15,8,2,1,zero
mmT-miR-5103,zero,zero,zero,zero,zero,zero,zero,14,zero,zero,zero,zero
mmT-miR-5110,zero,zero,zero,zero,zero,zero,zero,4,zero,zero,zero,zero
mmT-miR-5113,zero,zero,zero,zero,zero,zero,zero,7,6,zero,1,zero
mmT-miR-5119,zero,zero,zero,zero,zero,zero,zero,4,3,zero,2,1
mmT-miR-5120,zero,zero,zero,zero,zero,zero,zero,4,4,1,zero,zero
mmT-miR-5123,zero,zero,zero,zero,zero,zero,zero,1,2,zero,zero,zero
mmT-miR-5128,zero,zero,zero,zero,zero,zero,zero,6,3,zero,zero,zero
mmT-miR-5130,zero,zero,zero,zero,zero,zero,zero,9,4,zero,3,zero
mmT-miR-5134-3p,zero,zero,zero,zero,zero,zero,zero,2,1,zero,zero,zero
mmT-miR-5134-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-5615-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-5616-5p,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,zero,zero
mmT-miR-5618-5p,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,zero,zero
mmT-miR-5623-5p,zero,zero,zero,zero,zero,zero,zero,9,zero,1,1,zero
mmT-miR-5709-5p,zero,zero,zero,zero,zero,zero,zero,8,1,1,1,1
mmT-miR-582-5p,zero,zero,zero,zero,zero,zero,zero,8,zero,zero,zero,zero
mmT-miR-592-5p,zero,zero,zero,zero,zero,zero,zero,1,4,1,zero,zero
mmT-miR-6236,zero,zero,zero,zero,zero,zero,zero,15,2,3,4,zero
mmT-miR-6238,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-6239,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,1,zero
mmT-miR-6380,zero,zero,zero,zero,zero,zero,zero,1,1,zero,zero,zero
mmT-miR-6481,zero,zero,zero,zero,zero,zero,zero,3,zero,zero,zero,zero
mmT-miR-665-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,2,zero
mmT-miR-666-5p,zero,zero,zero,zero,zero,zero,zero,5,1,zero,zero,zero
mmT-miR-669h-5p,zero,zero,zero,zero,zero,zero,zero,2,1,zero,2,zero
mmT-miR-669m-3p,zero,zero,zero,zero,zero,zero,zero,4,zero,zero,zero,zero
mmT-miR-669m-5p,zero,zero,zero,zero,zero,zero,zero,7,3,zero,2,1
mmT-miR-669p-3p,zero,zero,zero,zero,zero,zero,zero,7,5,1,1,zero
mmT-miR-673-3p,zero,zero,zero,zero,zero,zero,zero,5,zero,zero,zero,zero
mmT-miR-6896-5p,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,2,1
mmT-miR-6897-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,1,zero,zero
mmT-miR-6900-3p,zero,zero,zero,zero,zero,zero,zero,6,3,1,2,zero
mmT-miR-6904-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-6912-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-6913-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-6914-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-6916-5p,zero,zero,zero,zero,zero,zero,zero,6,1,2,2,zero
mmT-miR-6919-5p,zero,zero,zero,zero,zero,zero,zero,6,zero,zero,zero,zero
mmT-miR-6921-3p,zero,zero,zero,zero,zero,zero,zero,4,zero,zero,zero,zero
mmT-miR-6922-5p,zero,zero,zero,zero,zero,zero,zero,1,2,zero,zero,zero
mmT-miR-6931-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-6932-5p,zero,zero,zero,zero,zero,zero,zero,4,zero,zero,zero,zero
mmT-miR-6936-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-6940-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-6946-3p,zero,zero,zero,zero,zero,zero,zero,3,zero,zero,1,zero
mmT-miR-6953-3p,zero,zero,zero,zero,zero,zero,zero,3,zero,zero,1,zero
mmT-miR-6954-5p,zero,zero,zero,zero,zero,zero,zero,1,1,zero,zero,zero
mmT-miR-6955-3p,zero,zero,zero,zero,zero,zero,zero,3,zero,zero,zero,zero
mmT-miR-6957-3p,zero,zero,zero,zero,zero,zero,zero,12,3,2,zero,zero
mmT-miR-6958-3p,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,zero,zero
mmT-miR-696,zero,zero,zero,zero,zero,zero,zero,3,zero,zero,zero,zero
mmT-miR-6962-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-6964-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-6964-5p,zero,zero,zero,zero,zero,zero,zero,3,zero,zero,zero,zero
mmT-miR-6967-3p,zero,zero,zero,zero,zero,zero,zero,3,zero,zero,zero,zero
mmT-miR-6968-3p,zero,zero,zero,zero,zero,zero,zero,3,zero,zero,zero,zero
mmT-miR-6975-3p,zero,zero,zero,zero,zero,zero,zero,3,2,zero,zero,zero
mmT-miR-6978-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-6980-3p,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,zero,zero
mmT-miR-6983-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-6984-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-6990-3p,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,zero,zero
mmT-miR-6990-5p,zero,zero,zero,zero,zero,zero,zero,9,2,9,4,1
mmT-miR-6992-5p,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,zero,zero
mmT-miR-6996-3p,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,1,zero
mmT-miR-6997-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-6999-3p,zero,zero,zero,zero,zero,zero,zero,5,zero,zero,zero,zero
mmT-miR-6999-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-7006-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-7007-5p,zero,zero,zero,zero,zero,zero,zero,6,zero,2,zero,zero
mmT-miR-7008-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-7013-5p,zero,zero,zero,zero,zero,zero,zero,1,3,zero,zero,2
mmT-miR-7015-5p,zero,zero,zero,zero,zero,zero,zero,4,zero,zero,2,zero
mmT-miR-701-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-7022-5p,zero,zero,zero,zero,zero,zero,zero,4,6,zero,2,zero
mmT-miR-7023-3p,zero,zero,zero,zero,zero,zero,zero,7,zero,zero,zero,zero
mmT-miR-7030-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-7031-3p,zero,zero,zero,zero,zero,zero,zero,3,zero,zero,zero,zero
mmT-miR-7031-5p,zero,zero,zero,zero,zero,zero,zero,2,zero,1,zero,zero
mmT-miR-7034-3p,zero,zero,zero,zero,zero,zero,zero,2,1,zero,zero,zero
mmT-miR-7037-5p,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,zero,zero
mmT-miR-7038-3p,zero,zero,zero,zero,zero,zero,zero,3,zero,zero,zero,zero
mmT-miR-7046-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-7046-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,2,zero
mmT-miR-7050-5p,zero,zero,zero,zero,zero,zero,zero,4,zero,zero,zero,zero
mmT-miR-7052-5p,zero,zero,zero,zero,zero,zero,zero,2,1,zero,zero,zero
mmT-miR-7058-5p,zero,zero,zero,zero,zero,zero,zero,4,zero,zero,zero,zero
mmT-miR-7061-5p,zero,zero,zero,zero,zero,zero,zero,5,zero,zero,zero,zero
mmT-miR-7064-3p,zero,zero,zero,zero,zero,zero,zero,1,1,zero,zero,zero
mmT-miR-7065-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-7069-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,1,zero
mmT-miR-7070-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-7073-5p,zero,zero,zero,zero,zero,zero,zero,5,4,1,1,zero
mmT-miR-7075-3p,zero,zero,zero,zero,zero,zero,zero,7,zero,zero,1,2
mmT-miR-7079-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-7081-3p,zero,zero,zero,zero,zero,zero,zero,8,zero,zero,1,zero
mmT-miR-7082-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-7084-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-7092-5p,zero,zero,zero,zero,zero,zero,zero,4,4,3,3,1
mmT-miR-7093-3p,zero,zero,zero,zero,zero,zero,zero,7,7,zero,zero,1
mmT-miR-7094-1-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-7094b-2-5p,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,zero,zero
mmT-miR-712-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-7213-5p,zero,zero,zero,zero,zero,zero,zero,8,6,1,zero,zero
mmT-miR-7219-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-7227-3p,zero,zero,zero,zero,zero,zero,zero,3,1,zero,zero,zero
mmT-miR-7237-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-7237-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-7240-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-760-3p,zero,zero,zero,zero,zero,zero,zero,5,1,zero,1,zero
mmT-miR-7646-3p,zero,zero,zero,zero,zero,zero,zero,3,zero,zero,zero,2
mmT-miR-7647-3p,zero,zero,zero,zero,zero,zero,zero,4,zero,2,zero,zero
mmT-miR-7648-3p,zero,zero,zero,zero,zero,zero,zero,1,1,zero,2,zero
mmT-miR-7650-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-7653-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-7653-5p,zero,zero,zero,zero,zero,zero,zero,3,zero,zero,zero,zero
mmT-miR-7654-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-7655-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-7658-3p,zero,zero,zero,zero,zero,zero,zero,5,zero,zero,zero,zero
mmT-miR-7658-5p,zero,zero,zero,zero,zero,zero,zero,5,1,zero,zero,zero
mmT-miR-7663-3p,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,zero,zero
mmT-miR-7666-3p,zero,zero,zero,zero,zero,zero,zero,1,1,zero,zero,zero
mmT-miR-7667-5p,zero,zero,zero,zero,zero,zero,zero,3,zero,zero,zero,zero
mmT-miR-7668-3p,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,1,zero
mmT-miR-7668-5p,zero,zero,zero,zero,zero,zero,zero,2,3,zero,1,zero
mmT-miR-7669-5p,zero,zero,zero,zero,zero,zero,zero,12,2,zero,zero,zero
mmT-miR-7670-5p,zero,zero,zero,zero,zero,zero,zero,3,2,zero,1,zero
mmT-miR-7671-3p,zero,zero,zero,zero,zero,zero,zero,2,2,zero,zero,zero
mmT-miR-7671-5p,zero,zero,zero,zero,zero,zero,zero,1,1,zero,zero,zero
mmT-miR-7675-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-7676-5p,zero,zero,zero,zero,zero,zero,zero,5,1,1,zero,zero
mmT-miR-7677-3p,zero,zero,zero,zero,zero,zero,zero,3,zero,2,zero,zero
mmT-miR-7683-3p,zero,zero,zero,zero,zero,zero,zero,2,1,zero,zero,zero
mmT-miR-7687-5p,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,zero,zero
mmT-miR-8090,zero,zero,zero,zero,zero,zero,zero,8,zero,zero,1,zero
mmT-miR-8092,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-8094,zero,zero,zero,zero,zero,zero,zero,12,3,2,1,1
mmT-miR-8098,zero,zero,zero,zero,zero,zero,zero,1,1,zero,zero,zero
mmT-miR-8104,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-8105,zero,zero,zero,zero,zero,zero,zero,2,zero,8,9,5
mmT-miR-8108,zero,zero,zero,zero,zero,zero,zero,9,3,zero,zero,1
mmT-miR-8111,zero,zero,zero,zero,zero,zero,zero,11,zero,1,3,zero
mmT-miR-8118,zero,zero,zero,zero,zero,zero,zero,2,1,2,2,zero
mmT-miR-871-3p,zero,zero,zero,zero,zero,zero,zero,7,zero,1,1,zero
mmT-miR-879-5p,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero
mmT-miR-881-3p,zero,zero,zero,zero,zero,zero,zero,1,zero,1,zero,zero
mmT-miR-96-3p,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,zero,zero
mmT-miR-103-2-5p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-12202-3p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-181d-3p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-188-3p,zero,zero,zero,zero,zero,zero,zero,zero,1,2,zero,zero
mmT-miR-219b-3p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-3063-3p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-3097-3p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-328-5p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,1,1
mmT-miR-335-5p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,1
mmT-miR-3471,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-376b-5p,zero,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,zero
mmT-miR-377-3p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-450a-1-3p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,1,2
mmT-miR-466l-5p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-489-3p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-5627-3p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,2,zero
mmT-miR-6375,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-6541,zero,zero,zero,zero,zero,zero,zero,zero,2,zero,1,zero
mmT-miR-669c-3p,zero,zero,zero,zero,zero,zero,zero,zero,2,1,zero,zero
mmT-miR-669l-3p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,2,zero
mmT-miR-6898-5p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-6910-5p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-6912-3p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-6919-3p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-692,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-6928-3p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-6938-3p,zero,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,zero
mmT-miR-6961-3p,zero,zero,zero,zero,zero,zero,zero,zero,1,2,zero,zero
mmT-miR-6962-5p,zero,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,zero
